Year,Playlist Name,Track Name,Artist(s),Spotify URL
2011,Top Hits of 2011,Price Tag,"Jessie J, B.o.B",https://open.spotify.com/track/7Igq29CgfVTTxdGpGT7BP7
2011,Top Hits of 2011,On The Floor,"Jennifer Lopez, Pitbull",https://open.spotify.com/track/20zQZVyUNPbq8kZACdgYrh
2011,Top Hits of 2011,Somebody That I Used To Know,"Gotye, Kimbra",https://open.spotify.com/track/4wCmqSrbyCgxEXROQE6vtV
2011,Top Hits of 2011,Without You (feat. Usher),"David Guetta, USHER",https://open.spotify.com/track/3YoB9nPUR47VXI3gxh5YMk
2011,Top Hits of 2011,a thousand years,Christina Perri,https://open.spotify.com/track/6lanRgr6wXibZr8KgzXxBl
2011,Top Hits of 2011,We Found Love,"Rihanna, Calvin Harris",https://open.spotify.com/track/6qn9YLKt13AGvpq9jfO8py
2011,Top Hits of 2011,Glad You Came,The Wanted,https://open.spotify.com/track/5yDL13y5giogKs2fSNf7sj
2011,Top Hits of 2011,Super Bass,Nicki Minaj,https://open.spotify.com/track/0tUVnDB0pM7xYGGgIKnyVf
2011,Top Hits of 2011,Airplanes,"B.o.B, Hayley Williams",https://open.spotify.com/track/6L0dnvrged1vonY9mlP8nd
2011,Top Hits of 2011,Just the Way You Are,Bruno Mars,https://open.spotify.com/track/3mX8uv98J6rCo6pzbZeG1r
2011,Top Hits of 2011,Every Teardrop Is a Waterfall,Coldplay,https://open.spotify.com/track/6P5g398JKsPAYSt4NKqsrX
2011,Top Hits of 2011,Raise Your Glass,P!nk,https://open.spotify.com/track/7GtiehK1LSqZysDaiaiAnp
2011,Top Hits of 2011,Love You Like A Love Song,Selena Gomez & The Scene,https://open.spotify.com/track/0fRfvwr9zufri1Oh7Ux8fF
2011,Top Hits of 2011,F**kin' Perfect,P!nk,https://open.spotify.com/track/4u9BLz4O1VVoxXysMZgGgR
2011,Top Hits of 2011,Teenage Dream,Katy Perry,https://open.spotify.com/track/48qJ5q8BOdOrYQywfyoK50
2011,Top Hits of 2011,DJ Got Us Fallin' In Love (feat. Pitbull),"USHER, Pitbull",https://open.spotify.com/track/5cYSbwNhxaHJjnXkFolc4t
2011,Top Hits of 2011,Set Fire to the Rain,Adele,https://open.spotify.com/track/73CMRj62VK8nUS4ezD2wvi
2011,Top Hits of 2011,Bounce (feat. Kelis) - Radio Edit,"Calvin Harris, Kelis",https://open.spotify.com/track/36cmM3MBMWWCFIiQ90U4J8
2011,Top Hits of 2011,Animal,Neon Trees,https://open.spotify.com/track/7EYmsUSPUHASjJjkK3QGh4
